DimInvestmentID,DimAccountID,InvestmentManagerID,Name,AssetClass,SubAssetClass,InvestmentRegime,IsPrimaryAccount,AsOfDate,NAV,Twr1Month,Twr3Month,Twr1Year,Twr3Year,Twr5Year,Twr10Year,TwrFytd,TwrYtd,TwrSince98,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,DimPortfolioID,BenchmarkDimAccountID,Account,DimBenchmarkID,BenchmarkName,Twr6Month,Twr2Year,Twr4Year,Twr7Year
2026,116717,Two Sigma,Two Sigma US 130-30,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092729,-0.044646,-0.176272,0.077002,0.086162,0.113854,-0.092729,-0.246207,0.070999,11.481,,360964000000,356041000000,12,98043,IX1F00003858,2524,Russell 3000,-0.204201,0.042254,0.064842,0.108996
22685,115337,BlueSpruce,WhiteSpruce,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092099,-0.048827,-0.154721,0.081617,0.092378,0.117028,-0.092099,-0.238673,0.0691,10.2893,,333319000000,301191000000,12,88326,IX1F00079488,2884,S&P 500,-0.201976,0.048287,0.071712,0.11404
22685,80675,BlueSpruce,WhiteSpruce,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092099,-0.048827,-0.154721,0.081617,0.092378,0.117028,-0.092099,-0.238673,0.0691,10.2893,,333319000000,301191000000,12,88326,IX1F00079488,2884,S&P 500,-0.201976,0.048287,0.071712,0.11404
10473,117197,"Texas McCombs Investment Advisers, LLC",UT Longhorn Fund,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092099,-0.048827,-0.154721,0.081617,0.092378,0.117028,-0.092099,-0.238673,0.0691,10.2893,,333319000000,301191000000,12,88326,IX1F00079488,2884,S&P 500,-0.201976,0.048287,0.071712,0.11404
10473,82235,"Texas McCombs Investment Advisers, LLC",UT Longhorn Fund,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092099,-0.048827,-0.154721,0.081617,0.092378,0.117028,-0.092099,-0.238673,0.0691,10.2893,,333319000000,301191000000,12,88326,IX1F00079488,2884,S&P 500,-0.201976,0.048287,0.071712,0.11404
8111,89538,BlueSpruce,BlueSpruce Dislocation Fund - CI,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092099,-0.048827,-0.154721,0.081617,0.092378,0.117028,-0.092099,-0.238673,0.0691,10.2893,,333319000000,301191000000,12,88326,IX1F00079488,2884,S&P 500,-0.201976,0.048287,0.071712,0.11404
8111,82775,BlueSpruce,BlueSpruce Dislocation Fund - CI,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092099,-0.048827,-0.154721,0.081617,0.092378,0.117028,-0.092099,-0.238673,0.0691,10.2893,,333319000000,301191000000,12,88326,IX1F00079488,2884,S&P 500,-0.201976,0.048287,0.071712,0.11404
3293,117317,Texas A&M University,TAMU Reveille Fund,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092099,-0.048827,-0.154721,0.081617,0.092378,0.117028,-0.092099,-0.238673,0.0691,10.2893,,333319000000,301191000000,12,88326,IX1F00079488,2884,S&P 500,-0.201976,0.048287,0.071712,0.11404
3293,82295,Texas A&M University,TAMU Reveille Fund,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.092099,-0.048827,-0.154721,0.081617,0.092378,0.117028,-0.092099,-0.238673,0.0691,10.2893,,333319000000,301191000000,12,88326,IX1F00079488,2884,S&P 500,-0.201976,0.048287,0.071712,0.11404
18916,101778,UTIMCO,MSCI US Value LC,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.082006,-0.057408,-0.091944,0.04434,0.055071,0.093683,-0.082006,-0.173856,0.057709,11.41,,179906000000,163876000000,12,91508,IX1F00128388,1024,MSCI US Value,-0.16174,0.094737,0.045027,0.085827
3060,5692,UTIMCO,GS US Value Passive,Developed Markets Public Equity,U.S. Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.082006,-0.057408,-0.091944,0.04434,0.055071,0.093683,-0.082006,-0.173856,0.057709,11.41,,179906000000,163876000000,12,91508,IX1F00128388,1024,MSCI US Value,-0.16174,0.094737,0.045027,0.085827
18658,13852,UTIMCO,Total Global Developed Equity,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.09296,-0.061877,-0.196329,0.045571,0.053017,0.081093,-0.09296,-0.254243,0.051783,8.003,,506853000000,457551000000,12,77886,IX1F00052438,1204,MSCI World,-0.213726,0.017494,0.038679,0.079084
16573,116057,TPG Capital,TPG LO,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.09296,-0.061877,-0.196329,0.045571,0.053017,0.081093,-0.09296,-0.254243,0.051783,8.003,,506853000000,457551000000,12,77886,IX1F00052438,1204,MSCI World,-0.213726,0.017494,0.038679,0.079084
16573,81275,TPG Capital,TPG LO,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.09296,-0.061877,-0.196329,0.045571,0.053017,0.081093,-0.09296,-0.254243,0.051783,8.003,,506853000000,457551000000,12,77886,IX1F00052438,1204,MSCI World,-0.213726,0.017494,0.038679,0.079084
16394,101958,UTIMCO,MSCI EM Reallocation,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.09296,-0.061877,-0.196329,0.045571,0.053017,0.081093,-0.09296,-0.254243,0.051783,8.003,,506853000000,457551000000,12,77886,IX1F00052438,1204,MSCI World,-0.213726,0.017494,0.038679,0.079084
