DimAccountID,ACCOUNT,LONG_NAME,ACCOUNTSOURCENAME,IsPrimaryAccount,Source,NAVColumnName,ShowAccount
78027,UTAF25530002,BOR UTA TEMP AC103,Mellon,TRUE,DW,NAV,0
77967,UTAF25520002,BOR UTA TEMP AC102,Mellon,TRUE,DW,NAV,0
77907,UTAF25510002,BOR UTA TEMP AC101,Mellon,TRUE,DW,NAV,0
77847,UTAF25500002,BOR UTA TEMP AC100,Mellon,TRUE,DW,NAV,0
77787,UTAF25490002,UTA TEMP AC 87,Mellon,TRUE,DW,NAV,0
77667,UTAF25470002,UTA TEMP AC 85,Mellon,TRUE,DW,NAV,0
77427,UTAF25430002,UTA TEMP AC 81,Mellon,TRUE,DW,NAV,0
77367,UTAF25420002,UTA TEMP AC 80,Mellon,TRUE,DW,NAV,0
77307,UTAF25410002,UTA TEMP AC 79,Mellon,TRUE,DW,NAV,0
83846,UTAF24420002,Silver Point,Mellon,TRUE,DW,NAV,0
77247,UTAF25400002,UTA TEMP AC 78,Mellon,TRUE,DW,NAV,0
77127,UTAF25380002,UTA TEMP AC 76,Mellon,TRUE,DW,NAV,0
76947,UTAF25350002,UTA TEMP AC 73,Mellon,TRUE,DW,NAV,0
76887,UTAF25340002,UTA TEMP AC 72,Mellon,TRUE,DW,NAV,0
76827,UTAF25330002,UTA TEMP AC 71,Mellon,TRUE,DW,NAV,0
76767,UTAF25320002,UTA TEMP AC 70,Mellon,TRUE,DW,NAV,0
76587,UTAF25290002,TEMP AC 67,Mellon,TRUE,DW,NAV,0
76527,UTAF25280002,TEMP AC 66,Mellon,TRUE,DW,NAV,0
76407,UTAF25260002,TEMP AC 64,Mellon,TRUE,DW,NAV,0
82946,UTAF24290002,MOON,Mellon,TRUE,DW,NAV,0
76287,UTAF25240002,TEMP AC 62,Mellon,TRUE,DW,NAV,0
76227,UTAF25230002,TEMP AC 61,Mellon,TRUE,DW,NAV,0
82766,UTAF24270002,TPG-Axon,Mellon,TRUE,DW,NAV,0
76107,UTAF25210002,COLUMBUS HILL OPP,Mellon,TRUE,DW,NAV,0
75807,UTAF25160002,Deerfield PD IV,Mellon,TRUE,DW,NAV,0
75687,UTAF25140002,FASS III,Mellon,TRUE,DW,NAV,0
75627,UTAF25130002,Silver Point Select,Mellon,TRUE,DW,NAV,0
75447,UTAF25100002,Silver Point SPC CRD,Mellon,TRUE,DW,NAV,0
75327,UTAF25080002,Hound HF,Mellon,TRUE,DW,NAV,0
90934,UTJF30350002,UTJF TEMP AC 8 US,Mellon,TRUE,DW,NAV,0
90874,UTJF30340002,SLVR PT SPE CR II US,Mellon,TRUE,DW,NAV,0
90814,UTJF30330002,BURFORD ALT INC USPA,Mellon,TRUE,DW,NAV,0
90754,UTJF30320002,DE SHW AL V OFF USPA,Mellon,TRUE,DW,NAV,0
90694,UTJF30310002,DE SHAW AL V ON USPA,Mellon,TRUE,DW,NAV,0
90634,UTJF30300002,DE SHAW ALKA IV USPA,Mellon,TRUE,DW,NAV,0
90574,UTJF30290002,DE SHAW DIO OFF USPA,Mellon,TRUE,DW,NAV,0
90514,UTJF30280002,DE SHAW DIO ON USPA,Mellon,TRUE,DW,NAV,0
90454,UTJF30270002,MILLENNIUM HF US PA,Mellon,TRUE,DW,NAV,0
90394,UTJF30260002,MILLENNIUM INL US PA,Mellon,TRUE,DW,NAV,0
90334,UTJF30250002,UTJF TEMP AC 7 US,Mellon,TRUE,DW,NAV,0
90274,UTJF30240002,UTJF TEMP AC 6 US,Mellon,TRUE,DW,NAV,0
89974,UTJF30190002,UTJF TEMP AC 1 US,Mellon,TRUE,DW,NAV,0
89914,UTJF30180002,Two Sigma AR PA US,Mellon,TRUE,DW,NAV,0
89794,UTJF30160002,Atlas Enhanced PA US,Mellon,TRUE,DW,NAV,0
89734,UTJF30150002,Walleye PA US,Mellon,TRUE,DW,NAV,0
89674,UTJF30140002,Holocene Off PA US,Mellon,TRUE,DW,NAV,0
89614,UTJF30130002,Holocene On PA US,Mellon,TRUE,DW,NAV,0
89554,UTJF30120002,JUNIPERUS PA US,Mellon,TRUE,DW,NAV,0
