FactReturnsID,DimAccountID,SHORT_NAME,SUBGROUP,SEGMENT,CATEGORY,SECTOR,LEVEL4,SECASE_NAME,PRELNK_AS_OF_DATE,MONTH,QUARTER,SIX_MONTH,FISCAL_YTD,YTD,YEAR_1,YEAR_2,YEAR_3,YEAR_4,YEAR_5,YEAR_7,YEAR_10,YEAR_15,YEAR_20,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,NAV,Source,Created_Date,Updated_Date,Execution_ID,Created_By,Updated_By,FinalNAV,CustodianMarketValue
961588,94336,MSCI United Kingdom EUR^,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.4283,-4.7707,-9.2634,,-5.5634,1.6588,16.187,1.8639,2.2827,2.7758,3.3793,4.7424,2.7013,5.2283,3.3671,,20899504521,19392895795,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1088522,91808,MSCI EM Far East G,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-14.3432,-15.7349,-21.0387,,-31.0359,-32.3601,-17.6245,0.1796,0.0199,-0.2636,6.6021,5.6328,2.8356,8.5408,3.5855,,22225113991,18769787938,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1074070,88210,S&P 500 Cons Staples Sec,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-7.9852,-6.6206,-10.9308,,-11.8307,-0.0918,5.4715,6.2382,8.7974,7.5986,8.2647,9.5143,9.0573,9.2217,9.9396,,22554620153,20726355917,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1085054,88151,MSCI Kokusai Sm Cp Net,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.4453,-3.42,-18.8345,,-23.8102,-21.0939,6.2114,4.2541,2.2434,4.1053,7.4628,8.8335,6.2466,9.8518,8.0367,,61465982035,54273373326,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1071670,87730,FTAW All World,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-8.3457,-4.7622,-17.4042,,-21.1924,-15.6515,3.9385,5.7185,5.0326,6.3175,8.7746,9.5338,5.6666,8.6603,7.4447,,496278000000,467459000000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1069740,87428,MSCI Wld XUS NtDivVal Idx,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-5.5227,-4.2675,-9.8751,,-6.7174,-3.9724,12.9574,2.0302,1.1537,1.3794,4.362,6.2718,1.8958,6.0105,9.3217,,76270903329,68806326386,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1063560,86588,MSCI AC Wld P G,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.4335,-4.1726,-21.9042,,-29.1668,-24.0785,-3.2977,6.0236,5.1692,7.0129,8.7359,9.2656,5.042,7.1532,5.2779,,284465000000,254510000000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1091532,81971,FTSE AW AsiaPacXJpn,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.7091,-8.6729,-15.1853,,-18.8772,-19.2092,-2.0338,2.26,1.7767,2.3232,6.2003,5.8139,3.8069,9.2162,8.3892,,63396452478,58345778149,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1094228,81850,MSCI EMU X-Ger NtDiv Idx,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.3074,-3.8128,-13.08,,-20.4964,-15.1376,7.321,0.6975,2.0473,1.7986,4.4578,7.0391,1.3834,5.3387,2.7609,,30941934914,28182177433,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1068556,80712,SP Dev BMI X USD<1.2B,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-13.5627,-9.6425,-26.9021,,-31.6823,-32.8537,-5.7415,-0.7954,-4.0455,-2.3916,2.745,3.7886,1,7.4988,4.8142,,8522516206,8179166137,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
