DimInvestmentID,DimAccountID,InvestmentManagerID,Name,AssetClass,SubAssetClass,InvestmentRegime,Original_AssetClass,Original_SubAssetClass,IsPrimaryAccount,AsOfDate,NAV,Twr1Month,Twr3Month,Twr1Year,Twr3Year,Twr5Year,Twr10Year,TwrFytd,TwrYtd,TwrInceptionInvested,TwrSince98,TwrCompYtd,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,SortOrder,IsRegimeTotal,IsAssetClassTotal,IsConsolidationAccount,IsSubassetClass_Total,TargetAllocation,DimPortfolioID,CustodianMarketValue
9993,116237,Marshall Wace,Marshall Wace EM,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,95301645,-0.120606,-0.125717,-0.261506,,,,-0.120606,-0.245716,-0.023217,,1,-2.3217,,108372001.5,95301644.83,1,2,5,16468,0,0,0,0,7,12,
6808,116777,Two Sigma,Two Sigma China,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,34330796,-0.081646,-0.173776,-0.231862,,,,-0.081646,-0.253381,-0.008868,,1,-0.8868,,37382966.75,34330796.47,1,2,5,18105,0,0,0,0,7,12,
5925,97218,Janchor,Janchor Opp II,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,50952382,-0.0881,-0.104946,-0.298013,,,,-0.0881,-0.296929,0.020835,,1,2.0835,,55874994.17,50952381.54,1,2,5,17572,0,0,0,0,7,12,
3053,88818,Grand Alliance Asset Management,Grand Alliance Taiwan,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,67810699,-0.152007,-0.111848,-0.292301,,,,-0.152007,-0.38738,-0.271458,,1,-27.1458,,79966061.48,67810699.42,1,2,5,17095,0,0,0,0,7,12,
2629,88758,CoreView Capital Management,CoreView China,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,26979647,-0.092765,-0.18511,-0.283986,,,,-0.092765,-0.274281,-0.256508,,1,-25.6508,,29738312.02,26979647.3,1,2,5,18269,0,0,0,0,7,12,
2310,6352,UTIMCO,Public EM Passive,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,108257170,-0.117233,-0.115725,-0.263313,,,,-0.117233,-0.271848,-0.147415,,1,,,121991486.6,108257169.8,1,2,5,16222,0,0,0,0,7,12,
18916,101778,UTIMCO,MSCI US Value LC,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,47122251,-0.078098,-0.060439,,,,,-0.078098,,-0.132069,,1,-13.2069,,51393750.32,47122250.63,1,1,1,3618,0,0,0,0,20.1,12,
11138,90078,Cooke & Bieler,Cooke & Bieler CV,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,131054947,-0.098293,-0.101563,,,,,-0.098293,,-0.17847,,1,-17.7881,,145340993,131054947.3,1,1,1,2409,0,0,0,0,20.1,12,
8137,89358,Echo Street,Echo Street New World,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,28599476,-0.098389,-0.033377,,,,,-0.098389,,-0.25908,,1,-25.908,,31720426.61,28599476.49,1,1,1,4195,0,0,0,0,20.1,12,
25925,89958,Arrowstreet,Arrowstreet ACWI,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,63352743,-0.086154,-0.094845,,,,,-0.086154,,-0.164497,,1,-16.4497,,69325389.63,63352742.64,1,1,3,11142,0,0,0,0,20.1,12,
