DimAccountID,ACCOUNT,LONG_NAME,ACCOUNTSOURCENAME,Source,IsPrimaryAccount,NAVColumnName,ShowAccount,IsHedgeFund
87026,UTAF24890002,Slate Path,Mellon,DW,TRUE,NAV,0,1
80427,UTAF25930002,UTA TEMP AC 143    ,Mellon,DW,TRUE,NAV,0,1
80367,UTAF25920002,UTA TEMP AC 142    ,Mellon,DW,TRUE,NAV,0,1
80307,UTAF25910002,UTA TEMP AC 141    ,Mellon,DW,TRUE,NAV,0,1
80247,UTAF25900002,UTA TEMP AC 140,Mellon,DW,TRUE,NAV,0,1
80187,UTAF25890002,UTA TEMP AC139,Mellon,DW,TRUE,NAV,0,1
86726,UTAF24850002,Farallon Asia II,Mellon,DW,TRUE,NAV,0,1
80067,UTAF25870002,UTA TEMP AC137,Mellon,DW,TRUE,NAV,0,1
86606,UTAF24830002,Oz Credit Opp,Mellon,DW,TRUE,NAV,0,1
79947,UTAF25850002,UTA TEMP AC135,Mellon,DW,TRUE,NAV,0,1
79887,UTAF25840002,UTA TEMP AC134,Mellon,DW,TRUE,NAV,0,1
86426,UTAF24800002,Janchor,Mellon,DW,TRUE,NAV,0,1
79827,UTAF25830002,UTA TEMP AC133,Mellon,DW,TRUE,NAV,0,1
79767,UTAF25820002,UTA TEMP AC132,Mellon,DW,TRUE,NAV,0,1
79707,UTAF25810002,UTA TEMP AC131,Mellon,DW,TRUE,NAV,0,1
79647,UTAF25800002,UTA TEMP AC130,Mellon,DW,TRUE,NAV,0,1
79587,UTAF25790002,BOR UTA TEMP AC129,Mellon,DW,TRUE,NAV,0,1
79527,UTAF25780002,BOR UTA TEMP AC128,Mellon,DW,TRUE,NAV,0,1
79467,UTAF25770002,BOR UTA TEMP AC127,Mellon,DW,TRUE,NAV,0,1
86006,UTAF24740002,Farallon Asia,Mellon,DW,TRUE,NAV,0,1
79407,UTAF25760002,BOR UTA TEMP AC126,Mellon,DW,TRUE,NAV,0,1
79347,UTAF25750002,BOR UTA TEMP AC125,Mellon,DW,TRUE,NAV,0,1
85886,UTAF24722002,Deerfield PD III,Mellon,DW,TRUE,NAV,0,1
79287,UTAF25740002,BOR UTA TEMP AC124,Mellon,DW,TRUE,NAV,0,1
85826,UTAF24721002,Deerfield PD II,Mellon,DW,TRUE,NAV,0,1
79227,UTAF25730002,BOR UTA TEMP AC123,Mellon,DW,TRUE,NAV,0,1
79167,UTAF25720002,BOR UTA TEMP AC122,Mellon,DW,TRUE,NAV,0,1
79107,UTAF25710002,BOR UTA TEMP AC121,Mellon,DW,TRUE,NAV,0,1
79047,UTAF25700002,BOR UTA TEMP AC120,Mellon,DW,TRUE,NAV,0,1
78987,UTAF25690002,BOR UTA TEMP AC119,Mellon,DW,TRUE,NAV,0,1
78927,UTAF25680002,BOR UTA TEMP AC118,Mellon,DW,TRUE,NAV,0,1
85466,UTAF24670002,Valiant,Mellon,DW,TRUE,NAV,0,1
78867,UTAF25670002,BOR UTA TEMP AC117,Mellon,DW,TRUE,NAV,0,1
78807,UTAF25660002,BOR UTA TEMP AC116,Mellon,DW,TRUE,NAV,0,1
78747,UTAF25650002,BOR UTA TEMP AC115,Mellon,DW,TRUE,NAV,0,1
78687,UTAF25640002,BOR UTA TEMP AC114,Mellon,DW,TRUE,NAV,0,1
78567,UTAF25620002,BOR UTA TEMP AC112,Mellon,DW,TRUE,NAV,0,1
85106,UTAF24610002,Baupost,Mellon,DW,TRUE,NAV,0,1
78447,UTAF25600002,BOR UTA TEMP AC110,Mellon,DW,TRUE,NAV,0,1
84986,UTAF24590002,Centerbridge,Mellon,DW,TRUE,NAV,0,1
78387,UTAF25590002,BOR UTA TEMP AC109,Mellon,DW,TRUE,NAV,0,1
78327,UTAF25580002,BOR UTA TEMP AC108,Mellon,DW,TRUE,NAV,0,1
78267,UTAF25570002,BOR UTA TEMP AC107,Mellon,DW,TRUE,NAV,0,1
78207,UTAF25560002,BOR UTA TEMP AC106,Mellon,DW,TRUE,NAV,0,1
78147,UTAF25550002,BOR UTA TEMP AC105,Mellon,DW,TRUE,NAV,0,1
78087,UTAF25540002,BOR UTA TEMP AC104,Mellon,DW,TRUE,NAV,0,1
